Date,Channel,SKU,Vendor,Wheel,Size,Bolt Pattern,Finish,Price,ID,Monthly Total,Monthly Sets,,
2/16/2025,eBay,V-RacingTE37SagaSPlus-179+22-51143-SLV,Volk,Volk Racing TE37 Saga S-Plus,17x9 +22,5x114.3,Diamond Silver,"$2,984.52",Volk Racing TE37 Saga S-Plus17x9 +225x114.3Diamond Silver,,,,
2/15/2025,Shopify,GL-57DR-188.5+37-5100-CP,Gram Lights,Gram Lights 57DR,18x8.5 +37,5x100,Chrome Plating,"$2,516.00",Gram Lights 57DR18x8.5 +375x100Chrome Plating,,,,
2/15/2025,eBay,GL-57NR-189.5+38-51143-BR,Gram Lights,Gram Lights 57NR,18x9.5 +38,5x114.3,DarkBronze,"$1,704.96",Gram Lights 57NR18x9.5 +385x114.3DarkBronze,,,,
2/14/2025,Shopify,V-RacingTE37SagaSPlus-189.5+38-51143-DB,Volk,Volk Racing TE37 Saga S-Plus,18x9.5 +38,5x114.3,Diamond Black,"$3,524.40",Volk Racing TE37 Saga S-Plus18x9.5 +385x114.3Diamond Black,,,,
2/14/2025,Shopify,"B-LM-209.5+8,2010.5+15-5112-SLV",BBS,BBS LM,"20x9.5 +8, 20x10.5 +15",5x112,Diamond Silver,"$4,867.20","BBS LM20x9.5 +8, 20x10.5 +155x112Diamond Silver",,,,
2/14/2025,Shopify,GL-57NR-189.5+22-51143-GB,Gram Lights,Gram Lights 57NR,18x9.5 +22,5x114.3,Glass Black,"$1,778.62",Gram Lights 57NR18x9.5 +225x114.3Glass Black,,,,
2/14/2025,Shopify,W-EmotionZR102P-189.5+40-5100-MB,Work,Work Emotion ZR10 2P,18x9.5 +40,5x100,Matte Black,"$2,880.00",Work Emotion ZR10 2P18x9.5 +405x100Matte Black,,,,
2/14/2025,Shopify,GL-57CR-189.5+38-5120-GB2,Gram Lights,Gram Lights 57CR,18x9.5 +38,5x120,Gun Blue 2,"$1,730.60",Gram Lights 57CR18x9.5 +385x120Gun Blue 2,,,,
2/13/2025,Shopify,V-RacingTE37UltraMSpec-1910.5+31-51143-BR,Volk,Volk Racing TE37 Ultra M-Spec,19x10.5 +31,5x114.3,BlastBronze,"$3,450.00",Volk Racing TE37 Ultra M-Spec19x10.5 +315x114.3BlastBronze,,,,
2/13/2025,eBay,"A-GTBeyond-2010+30,2012+20-51143-TB",Advan,Advan GT Beyond,"20x10 +30, 20x12 +20",5x114.3,Titanium Black,"$4,396.80","Advan GT Beyond20x10 +30, 20x12 +205x114.3Titanium Black",,,,
2/13/2025,eBay,"A-GTPremium-2010+35,2012+20-51143-BR",Advan,Advan GT Premium,"20x10 +35, 20x12 +20",5x114.3,DarkBronze Metallic,"$3,462.00","Advan GT Premium20x10 +35, 20x12 +205x114.3DarkBronze Metallic",,,,
2/13/2025,eBay,E-NT03RR-189.5+40-51143-G,Enkei,Enkei NT03RR,18x9.5 +40,5x114.3,Gunmetal,"$2,027.32",Enkei NT03RR18x9.5 +405x114.3Gunmetal,,,,
2/13/2025,eBay,GL-57DR-189.5+38-51143-BR2,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x114.3,Bronze 2,"$1,850.00",Gram Lights 57DR18x9.5 +385x114.3Bronze 2,,,,
2/13/2025,eBay,V-RacingTE37XTMSpec-178.5-3-6135-BB,Volk,Volk Racing TE37XT M-Spec,17x8.5 -3,6x135,Blast Black,"$3,200.00",Volk Racing TE37XT M-Spec17x8.5 -36x135Blast Black,,,,
2/12/2025,Shopify,GL-57DR-189.5+38-5120-GB,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x120,Glossy Black,"$1,393.60",Gram Lights 57DR18x9.5 +385x120Glossy Black,,,,
2/12/2025,Shopify,GL-57DR-189.5+38-5120-GB,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x120,Glossy Black,"$1,393.60",Gram Lights 57DR18x9.5 +385x120Glossy Black,,,,
2/12/2025,Shopify,V-RacingCE28ClubRacerIIBK-189.5+38-5120-DDG,Volk,Volk Racing CE28 Club Racer II BK,18x9.5 +38,5x120,Diamond Dark Gunmetal,"$2,402.40",Volk Racing CE28 Club Racer II BK18x9.5 +385x120Diamond Dark Gunmetal,,,,
2/12/2025,Shopify,V-RacingCE28ClubRacerIIBK-189.5+38-5120-DDG,Volk,Volk Racing CE28 Club Racer II BK,18x9.5 +38,5x120,Diamond Dark Gunmetal,"$2,402.40",Volk Racing CE28 Club Racer II BK18x9.5 +385x120Diamond Dark Gunmetal,,,,
2/12/2025,Shopify,"B-RID-209.5+10,2010.5+15-5112-DG",BBS,BBS RI-D,"20x9.5 +10, 20x10.5 +15",5x112,Diamond Gold,"$9,880.00","BBS RI-D20x9.5 +10, 20x10.5 +155x112Diamond Gold",,,,
2/12/2025,Shopify,V-RacingCE28SL-189.5+38-51143-MB,Volk,Volk Racing CE28SL,18x9.5 +38,5x114.3,Mag Blue,"$2,200.00",Volk Racing CE28SL18x9.5 +385x114.3Mag Blue,,,,
2/12/2025,Shopify,GL-57DR-179+38-51143-SGB,Gram Lights,Gram Lights 57DR,17x9 +38,5x114.3,Semi Gloss Black,"$1,527.45",Gram Lights 57DR17x9 +385x114.3Semi Gloss Black,,,,
2/12/2025,Shopify,V-RacingTE37SagaSPlus-189.5+45-5120-B,Volk,Volk Racing TE37 Saga S-Plus,18x9.5 +45,5x120,Black,"$2,680.60",Volk Racing TE37 Saga S-Plus18x9.5 +455x120Black,,,,
2/12/2025,Shopify,A-TC4-189.5+38-51143-RIB,Advan,Advan TC4,18x9.5 +38,5x114.3,Racing Indigo Blue,"$1,395.00",Advan TC418x9.5 +385x114.3Racing Indigo Blue,,,,
2/12/2025,Shopify,D-RegamasterEVOIITarmac-179.5+46-51143-SB,Desmond,Desmond Regamaster EVO II Tarmac,17x9.5 +46,5x114.3,Satin Black,"$2,415.00",Desmond Regamaster EVO II Tarmac17x9.5 +465x114.3Satin Black,,,,
2/12/2025,Shopify,GL-57DR-189.5+38-51143-BR2,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x114.3,Bronze 2,"$1,393.60",Gram Lights 57DR18x9.5 +385x114.3Bronze 2,,,,
